name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
MeadowFang,meadowfang.com,1,meadow + fang,牧场+牙，可爱猎感,牧场牙,3,10,,可注册,S,NO MATCH
StoneHerd,stoneherd.com,1,stone + herd,岩石+羊群，机制弱联想,石群,2,9,,已占用,—,DOMAIN NAME found
GrayPaddock,graypaddock.com,1,gray + paddock,灰围场，棋盘感,灰围场,3,10,,可注册,S,NO MATCH
FrostHerd,frostherd.com,1,frost + herd,霜季羊群，四季弱联想,霜群,2,9,,可注册,S,NO MATCH
MossPaddock,mosspaddock.com,1,moss + paddock,苔围场，温润,苔围场,3,10,,可注册,S,NO MATCH
CedarFold,cedarfold.com,1,cedar + fold,雪松羊圈,雪松圈,3,9,,已占用,—,DOMAIN NAME found
BirchFold,birchfold.com,1,birch + fold,桦树羊圈,桦圈,2,9,,已占用,—,DOMAIN NAME found
PinePaddock,pinepaddock.com,1,pine + paddock,松木围场,松围场,3,10,,可注册,S,NO MATCH
HillFlock,hillflock.com,1,hill + flock,山丘羊群,山丘群,2,9,,可注册,S,NO MATCH
GlenFlock,glenflock.com,1,glen + flock,峡谷羊群,峡群,2,9,,可注册,S,NO MATCH
ValeHerd,valeherd.com,1,vale + herd,谷地羊群,谷群,2,8,,可注册,S,NO MATCH
ReedPaddock,reedpaddock.com,1,reed + paddock,芦苇围场,苇围场,3,10,,可注册,S,NO MATCH
AshFold,ashfold.com,1,ash + fold,灰树羊圈，短,灰圈,2,7,,已占用,—,DOMAIN NAME found
ElmHerd,elmherd.com,1,elm + herd,榆群,榆群,2,7,,可注册,S,NO MATCH
FernPaddock,fernpaddock.com,1,fern + paddock,蕨围场,蕨围场,3,10,,可注册,S,NO MATCH
MossFold,mossfold.com,1,moss + fold,苔圈,苔圈,2,8,,已占用,—,DOMAIN NAME found
StoneFold,stonefold.com,1,stone + fold,石圈，岩石弱联想,石圈,2,9,,已占用,—,DOMAIN NAME found
FrostFold,frostfold.com,1,frost + fold,霜圈，冬章气质,霜圈,2,9,,已占用,—,DOMAIN NAME found
DawnPaddock,dawnpaddock.com,1,dawn + paddock,黎明围场，春章感,黎明围场,3,10,,可注册,S,NO MATCH
DuskHerd,duskherd.com,1,dusk + herd,黄昏羊群,暮群,2,8,,可注册,S,NO MATCH
MistFold,mistfold.com,1,mist + fold,雾圈，轻氛围,雾圈,2,8,,已占用,—,DOMAIN NAME found
GalePaddock,galepaddock.com,1,gale + paddock,劲风围场,风围场,3,10,,可注册,S,NO MATCH
ThornFold,thornfold.com,1,thorn + fold,刺圈，地形障碍弱联想,刺圈,2,9,,已占用,—,DOMAIN NAME found
RidgeFlock,ridgeflock.com,1,ridge + flock,岭上羊群,岭群,2,10,,可注册,S,NO MATCH
BrookFold,brookfold.com,1,brook + fold,溪圈,溪圈,2,9,,已占用,—,DOMAIN NAME found
CloverHerd,cloverherd.com,1,clover + herd,三叶草羊群，轻可爱,三叶群,3,10,,已占用,—,DOMAIN NAME found
HoneyFold,honeyfold.com,1,honey + fold,蜜圈，偏可爱,蜜圈,3,9,偏甜,已占用,—,DOMAIN NAME found
AmberHerd,amberherd.com,1,amber + herd,琥珀羊群，秋章色,琥珀群,3,9,,已占用,—,DOMAIN NAME found
IvoryFold,ivoryfold.com,1,ivory + fold,象牙色羊圈,牙色圈,3,9,,已占用,—,DOMAIN NAME found
CopperFold,copperfold.com,1,copper + fold,铜圈，质感,铜圈,3,10,,已占用,—,DOMAIN NAME found
SilverHerd,silverherd.com,1,silver + herd,银群,银群,3,10,,已占用,—,DOMAIN NAME found
QuietPaddock,quietpaddock.com,1,quiet + paddock,静围场，策略感,静围场,4,12,略长,可注册,B,NO MATCH
KeenFold,keenfold.com,1,keen + fold,敏锐羊圈/猎感,锐圈,2,8,,已占用,—,DOMAIN NAME found
BoldHerd,boldherd.com,1,bold + herd,勇群，进攻视角,勇群,2,8,,可注册,S,NO MATCH
Foldmere,foldmere.com,2,fold + mere,羊圈湖，地名感,圈湖,2,8,,已占用,—,DOMAIN NAME found
Herdwick,herdwick.com,2,herd + wick,羊群烛，注意Herdwick羊品种,群烛,2,8,Herdwick羊品种名,已占用,—,DOMAIN NAME found
Paddockmere,paddockmere.com,2,paddock + mere,围场湖,围场湖,3,11,,可注册,S,NO MATCH
Flockmere,flockmere.com,2,flock + mere,羊群湖,群湖,2,9,,可注册,S,NO MATCH
Fangmere,fangmere.com,2,fang + mere,牙湖，猎感地名,牙湖,2,8,,可注册,S,NO MATCH
Leapmere,leapmere.com,2,leap + mere,跃湖，连跳弱联想,跃湖,2,8,,可注册,S,NO MATCH
