name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
CedarHarbor,cedarharbor.com,1,cedar + harbor,自然港湾，沉稳机构感,「雪松港」,4,11,,已占用,—,DOMAIN NAME found
MapleBrook,maplebrook.com,1,maple + brook,枫树小溪，温润可信,「枫溪」,3,10,,已占用,—,DOMAIN NAME found
StonePine,stonepine.com,1,stone + pine,石松，稳固自然,「石松」,2,9,,已占用,—,DOMAIN NAME found
NorthField,northfield.com,1,north + field,北野，开阔沉稳,「北原」,2,10,,已占用,—,DOMAIN NAME found
StillWater,stillwater.com,1,still + water,静水，平静可信,「静水」,3,10,,已占用,—,DOMAIN NAME found
EastHaven,easthaven.com,1,east + haven,东港，庇护所感,「东港」,3,9,,已占用,—,DOMAIN NAME found
SilverGate,silvergate.com,1,silver + gate,银门，商务质感,「银门」,3,10,,已占用,—,DOMAIN NAME found
CopperLane,copperlane.com,1,copper + lane,铜巷，朴实稳重,「铜巷」,3,10,,已占用,—,DOMAIN NAME found
GrayStone,graystone.com,1,gray + stone,灰石，坚实低调,「灰石」,2,9,,已占用,—,DOMAIN NAME found
HeronPoint,heronpoint.com,1,heron + point,苍鹭角，动物+地貌好记,「鹭角」,3,10,,已占用,—,DOMAIN NAME found
FinchBay,finchbay.com,1,finch + bay,雀湾，轻盈但不卖萌,「雀湾」,2,8,,已占用,—,DOMAIN NAME found
LynxHill,lynxhill.com,1,lynx + hill,lynx 山丘，敏锐沉稳,「山猫丘」,2,8,,已占用,—,DOMAIN NAME found
OakRidge,oakridge.com,1,oak + ridge,橡树岭，经典地名感,「橡岭」,2,8,常见地名组合,已占用,—,DOMAIN NAME found
PineCrest,pinecrest.com,1,pine + crest,松顶，户外信任感,「松顶」,2,9,,已占用,—,DOMAIN NAME found
RiverGate,rivergate.com,1,river + gate,河门，流畅-gateway 隐喻,「河门」,3,9,,已占用,—,DOMAIN NAME found
BirchLane,birchlane.com,1,birch + lane,桦巷，清新稳重,「桦巷」,2,9,,已占用,—,DOMAIN NAME found
ElmHaven,elmhaven.com,1,elm + haven,榆木港，温厚,「榆港」,3,8,,已占用,—,DOMAIN NAME found
FrostPine,frostpine.com,1,frost + pine,霜松，清冷专业,「霜松」,2,9,,已占用,—,DOMAIN NAME found
MossBrook,mossbrook.com,1,moss + brook,苔溪，自然沉稳,「苔溪」,2,9,,已占用,—,DOMAIN NAME found
IvyPoint,ivypoint.com,1,ivy + point,常春藤角，生长感,「藤角」,3,8,,已占用,—,DOMAIN NAME found
CraneBay,cranebay.com,1,crane + bay,鹤湾，优雅好记,「鹤湾」,2,8,,已占用,—,DOMAIN NAME found
DoveField,dovefield.com,1,dove + field,鸽野，平和可信,「鸽野」,2,9,,已占用,—,DOMAIN NAME found
HawkRidge,hawkridge.com,1,hawk + ridge,鹰岭，敏锐瞭望,「鹰岭」,2,9,,已占用,—,DOMAIN NAME found
WestBirch,westbirch.com,1,west + birch,西桦，方向+自然,「西桦」,2,9,,已占用,—,DOMAIN NAME found
FairOaks,fairoaks.com,1,fair + oaks,秀橡，公正明朗,「秀橡」,2,8,,已占用,—,DOMAIN NAME found
TruePine,truepine.com,1,true + pine,真松，诚实测量气质,「真松」,2,8,,已占用,—,DOMAIN NAME found
CalmRiver,calmriver.com,1,calm + river,静河，沉稳,「静河」,3,9,,已占用,—,DOMAIN NAME found
LevelOak,leveloak.com,1,level + oak,平橡，Linear 感,「平橡」,3,8,,已占用,—,DOMAIN NAME found
SteadBay,steadbay.com,1,stead + bay,稳湾，可靠,「稳湾」,2,8,,可注册,S,NO MATCH
ClearBirch,clearbirch.com,1,clear + birch,清桦，透明诚实,「清桦」,2,10,,已占用,—,DOMAIN NAME found
StoneHaven,stonehaven.com,1,stone + haven,石港，坚固庇护,「石港」,3,10,,已占用,—,DOMAIN NAME found
Ironwood,ironwood.com,1,iron + wood,铁木，坚实（单词拼合）,「铁木」,3,8,ironwood 为常见词,已占用,—,DOMAIN NAME found
RedCedar,redcedar.com,1,red + cedar,红雪松，北美信任感,「红雪松」,3,8,,已占用,—,DOMAIN NAME found
BlueHeron,blueheron.com,1,blue + heron,蓝鹭，经典自然组合,「蓝鹭」,3,9,,已占用,—,DOMAIN NAME found
Westmere,westmere.com,2,west + mere,西湖地名感，沉稳,「西湖」,2,8,,已占用,—,DOMAIN NAME found
Brookhaven,brookhaven.com,2,brook + haven,溪港，经典地名,「溪港」,3,10,常见地名,已占用,—,DOMAIN NAME found
Fairwick,fairwick.com,2,fair + wick,秀烛，柔和机构感,「秀烛」,2,8,,已占用,—,DOMAIN NAME found
Clearwick,clearwick.com,2,clear + wick,清烛，透明可信,「清烛」,2,9,,已占用,—,DOMAIN NAME found
Steadwell,steadwell.com,2,stead + well,稳井，可靠源泉,「稳泉」,2,9,,已占用,—,DOMAIN NAME found
Truespan,truespan.com,2,true + span,真跨，诚实覆盖,「真跨」,2,8,,已占用,—,DOMAIN NAME found
Northmere,northmere.com,2,north + mere,北湖地名感,「北湖」,2,9,,已占用,—,DOMAIN NAME found
Eastwick,eastwick.com,2,east + wick,东烛，好读,「东烛」,2,8,,已占用,—,DOMAIN NAME found
Stonehaven,stonehaven.com,2,stone + haven,石港，坚固,「石港」,3,10,,已占用,—,DOMAIN NAME found
Rivermere,rivermere.com,2,river + mere,河湖，流畅,「河湖」,3,9,,已占用,—,DOMAIN NAME found
Oakendale,oakendale.com,2,oak + dale,橡谷，田园机构感,「橡谷」,3,9,,已占用,—,DOMAIN NAME found
Pinehurst,pinehurst.com,2,pine + hurst,松林，经典地名尾,「松林」,2,9,常见地名,已占用,—,DOMAIN NAME found
