name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Packhunt,packhunt.com,3,pack + hunt,三狼群猎,群猎,2,8,,已占用,—,DOMAIN NAME found
Huntpack,huntpack.com,3,hunt + pack,猎+狼群,猎群,2,8,,已占用,—,DOMAIN NAME found
Fangrush,fangrush.com,3,fang + rush,牙突进,牙突,2,8,,可注册,S,NO MATCH
Packrush,packrush.com,3,pack + rush,狼群突进,群突,2,8,,已占用,—,DOMAIN NAME found
Huntfang,huntfang.com,3,hunt + fang,猎牙,猎牙,2,8,,已占用,—,DOMAIN NAME found
Stonefang,stonefang.com,3,stone + fang,岩石+牙,石牙,2,9,,已占用,—,DOMAIN NAME found
Rockfang,rockfang.com,3,rock + fang,岩牙，地形联想,岩牙,2,8,,可注册,S,NO MATCH
Gridfang,gridfang.com,3,grid + fang,棋盘牙,格牙,2,8,,可注册,S,NO MATCH
Chainfang,chainfang.com,3,chain + fang,连吃牙,连牙,2,9,,已占用,—,DOMAIN NAME found
Fangchain,fangchain.com,3,fang + chain,牙连吃,牙链,2,9,,已占用,—,DOMAIN NAME found
Wolfleap,wolfleap.com,3,wolf + leap,狼+跳吃，最直,狼跃,2,8,wolf 词根常见,已占用,—,DOMAIN NAME found
Packbreak,packbreak.com,3,pack + break,狼群破阵,群破,2,9,,已占用,—,DOMAIN NAME found
Flockbreak,flockbreak.com,3,flock + break,破群；flock在前降权,破群,2,10,flock词首降权,可注册,B,NO MATCH
Fangboard,fangboard.com,3,fang + board,牙棋,牙棋,2,9,,可注册,S,NO MATCH
Huntboard,huntboard.com,3,hunt + board,猎棋,猎棋,2,9,,已占用,—,DOMAIN NAME found
Tripack,tripack.com,3,tri + pack,三狼群,三群,2,7,,已占用,—,DOMAIN NAME found
Packgrid,packgrid.com,3,pack + grid,狼群棋盘,群格,2,8,,已占用,—,DOMAIN NAME found
Fanggrid,fanggrid.com,3,fang + grid,牙格棋,牙格,2,8,,可注册,S,NO MATCH
Leapfang,leapfang.com,3,leap + fang,跃+牙；leap在前略逊Fangleap,跃牙,2,8,,可注册,S,NO MATCH
Ambushleap,ambushleap.com,3,ambush + leap,伏击跳,伏跃,3,10,略长,可注册,B,NO MATCH
Predleap,predleap.com,3,pred + leap,掠食跃,掠跃,2,8,pred缩写略怪,可注册,B,NO MATCH
Fangpath,fangpath.com,3,fang + path,牙径,牙径,2,8,,可注册,S,NO MATCH
Packpath,packpath.com,3,pack + path,群径,群径,2,8,,已占用,—,DOMAIN NAME found
Rushfang,rushfang.com,3,rush + fang,突牙,突牙,2,8,,可注册,S,NO MATCH
Boldfang,boldfang.com,3,bold + fang,勇牙,勇牙,2,8,,可注册,S,NO MATCH
Keenfang,keenfang.com,3,keen + fang,锐牙,锐牙,2,8,,可注册,S,NO MATCH
Frostfang,frostfang.com,3,frost + fang,霜牙，冬章,霜牙,2,9,游戏道具名常见,已占用,—,DOMAIN NAME found
Dawnfang,dawnfang.com,3,dawn + fang,黎明牙，春章,黎明牙,2,8,,已占用,—,DOMAIN NAME found
Duskfang,duskfang.com,3,dusk + fang,暮牙,暮牙,2,8,,可注册,S,NO MATCH
Seasonfang,seasonfang.com,3,season + fang,季牙，四季,季牙,3,10,,可注册,A,NO MATCH
Packstone,packstone.com,3,pack + stone,群+岩石,群石,2,9,,已占用,—,DOMAIN NAME found
Fangstone,fangstone.com,3,fang + stone,牙+岩石,牙石,2,9,,可注册,S,NO MATCH
Grayfang,grayfang.com,3,gray + fang,灰牙,灰牙,2,8,,可注册,S,NO MATCH
Ironfang,ironfang.com,3,iron + fang,铁牙,铁牙,2,8,常见奇幻名,已占用,—,DOMAIN NAME found
Nightfang,nightfang.com,3,night + fang,夜牙,夜牙,2,9,常见奇幻名,已占用,—,DOMAIN NAME found
Quickfang,quickfang.com,3,quick + fang,快牙，碎片对局,快牙,2,9,,已占用,—,DOMAIN NAME found
Swiftpack,swiftpack.com,3,swift + pack,迅群,迅群,2,9,,已占用,—,DOMAIN NAME found
Fanghold,fanghold.com,3,fang + hold,牙据点,牙据,2,8,,可注册,S,NO MATCH
Packhold,packhold.com,3,pack + hold,群据点,群据,2,8,,已占用,—,DOMAIN NAME found
Tripleleap,tripleleap.com,3,triple + leap,三连跳,三连跃,3,10,,已占用,—,DOMAIN NAME found
