name,domain,cluster,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Lucora,lucora.com,A,lucid + -ora,清澈可见，柔化 SaaS 感,「澄澈可见」,3,6,,已占用,—,DOMAIN NAME found
Sightio,sightio.com,A,sight + -io,直指「被看见」，科技后缀,「视野」,3,7,,已占用,—,DOMAIN NAME found
Presio,presio.com,A,presence + -io,品牌在 AI 答案中的「存在感」,「在场」,3,6,,已占用,—,DOMAIN NAME found
Glintly,glintly.com,A,glint + -ly,微光一闪=被 AI 点到,「闪光可见」,2,7,,已占用,—,DOMAIN NAME found
Clario,clario.com,A,clarity + -io 柔化,清晰、透明，契合诚实测量,「清晰」,3,6,与 Clari 等近,已占用,—,DOMAIN NAME found
Lumora,lumora.com,A,lumen + -ora,光度隐喻可见度,「光亮」,3,6,,已占用,—,DOMAIN NAME found
Visent,visent.com,A,visible + -ent,极短，「可见的」,「可见」,2,6,,已占用,—,DOMAIN NAME found
Optora,optora.com,A,optic + -ora,光学/视角隐喻,「视角」,3,6,,已占用,—,DOMAIN NAME found
Seento,seento.com,A,seen + -o,直白「被看见」,「被看见」,2,6,,已占用,—,DOMAIN NAME found
Vizent,vizent.com,A,visible 缩写 + -ent,短、科技感,「可见」,2,6,,已占用,—,DOMAIN NAME found
Appearly,appearly.com,A,appear + -ly,出现率=核心指标,「出现」,3,8,,已占用,—,DOMAIN NAME found
Showora,showora.com,A,show + -ora,被展示、被呈现,「展示」,3,7,,已占用,—,DOMAIN NAME found
Citora,citora.com,B,cite + -ora,AI 引用=可见度核心信号,「被引用」,3,6,,已占用,—,DOMAIN NAME found
Nomio,nomio.com,B,nominate + -io,被 AI 提名推荐,「被提名」,3,5,,已占用,—,DOMAIN NAME found
Recora,recora.com,B,recommend + -ora,直指「被推荐」,「被推荐」,3,6,,已占用,—,DOMAIN NAME found
Mentio,mentio.com,B,mention + -io,被点名提及,「被提及」,3,6,,已占用,—,DOMAIN NAME found
Ansio,ansio.com,B,answer + -io,答案引擎语境,「答案」,3,5,,已占用,—,DOMAIN NAME found
Citely,citely.com,B,cite + -ly,引用追踪感,「引用地」,3,6,,已占用,—,DOMAIN NAME found
Pickora,pickora.com,B,pick + -ora,AI 挑选你的品牌,「被选中」,3,7,,已占用,—,DOMAIN NAME found
